Subject,Block,Trial,Running_Trial,Selected,Warning,Covered,Action,Outcome,Cum_Outcome
7,1,2,2,5,0,0,1,2,-3
7,1,3,3,6,1,0,1,5,2
7,1,4,4,6,1,0,1,5,7
7,1,5,5,6,1,0,1,5,12
7,1,6,6,6,1,0,1,5,17
7,1,7,7,6,0,0,1,5,22
7,1,8,8,6,1,0,1,5,27
7,1,9,9,6,1,0,1,5,32
7,1,10,10,6,1,1,1,-5,27
7,1,11,11,3,1,0,1,9,36
7,1,12,12,3,1,0,0,0,36
7,1,13,13,3,1,1,1,-9,27
7,1,14,14,6,0,0,1,5,32
7,1,15,15,6,1,0,0,0,32
7,1,16,16,6,0,0,1,5,37
7,1,17,17,6,1,1,1,-5,32
7,1,18,18,6,0,0,1,5,37
7,1,19,19,1,0,0,1,2,39
7,1,20,20,5,0,0,1,2,41
7,1,21,21,5,0,0,1,2,43
7,1,22,22,6,0,0,1,5,48
7,1,23,23,6,1,1,1,-5,43
7,1,24,24,3,1,0,0,0,43
7,1,25,25,5,1,0,1,2,45
7,2,1,26,2,1,1,1,-5,40
7,2,2,27,3,1,1,0,0,40
7,2,3,28,6,0,0,1,2,42
7,2,4,29,5,1,0,0,0,42
7,2,5,30,2,0,0,1,8,50
7,2,6,31,2,1,1,1,-5,45
7,2,7,32,3,1,1,1,-6,39
7,2,8,33,6,0,0,1,2,41
7,2,9,34,6,0,0,1,2,43
7,2,10,35,6,0,0,1,2,45
7,2,11,36,6,0,0,1,2,47
7,2,12,37,2,1,0,0,0,47
7,2,13,38,6,0,0,1,2,49
7,2,14,39,6,0,0,1,2,51
7,2,15,40,2,1,0,1,8,59
7,2,16,41,2,0,0,1,8,67
7,2,17,42,2,1,1,1,-5,62
7,2,18,43,6,1,0,1,2,64
7,2,19,44,2,1,1,0,0,64
7,2,20,45,1,1,1,1,-3,61
7,2,21,46,6,0,0,1,2,63
7,2,22,47,2,1,1,0,0,63
7,2,23,48,2,1,1,0,0,63
7,2,24,49,6,1,1,1,-4,59
7,2,25,50,2,1,1,1,-5,54
7,3,1,51,4,0,0,1,5,59
7,3,2,52,4,1,0,0,0,59
7,3,3,53,4,1,1,0,0,59
7,3,4,54,2,1,1,0,0,59
7,3,5,55,6,0,0,1,2,61
7,3,6,56,6,1,1,1,-2,59
7,3,7,57,4,0,0,1,5,64
7,3,8,58,4,1,0,0,0,64
7,3,9,59,4,1,1,1,-8,56
7,3,10,60,5,0,0,1,3,59
7,3,11,61,5,1,0,0,0,59
7,3,12,62,5,0,0,1,3,62
7,3,13,63,5,1,0,0,0,62
7,3,14,64,5,1,0,0,0,62
7,3,15,65,4,1,0,0,0,62
7,3,16,66,3,1,1,0,0,62
7,3,17,67,5,1,0,1,3,65
7,3,18,68,5,0,0,1,3,68
7,3,19,69,5,0,0,1,3,71
7,3,20,70,5,1,1,1,-6,65
7,3,21,71,1,0,0,1,3,68
7,3,22,72,1,0,0,1,3,71
7,3,23,73,1,0,0,1,3,74
7,3,24,74,1,1,1,0,0,74
7,3,25,75,1,1,0,1,3,77
7,4,1,76,2,1,1,1,-3,74
7,4,2,77,4,1,1,1,-10,64
7,4,3,78,6,1,1,0,0,64
7,4,4,79,1,0,0,1,4,68
